Спортсмен,Unnamed: 1,Команда,ДР,Рост,Вес
Марк Беннетт,,Великобритания,03.02.1993,183.0,89.0
Джордж Беннетт,,Новая Зеландия,07.04.1990,,
Гордон Бенсон,,Великобритания,,,
Крейг Бенсон,,Великобритания,30.04.1994,,
Матей Бенус,,Словакия,02.11.1987,196.0,83.0
Меган Бенфейто,,Канада,02.03.1989,155.0,50.0
Борис Берайан,,США,19.12.1992,,
Стиг-Андре Берге,,Норвегия,20.07.1983,,
Артур Берго,,Бразилия,07.03.1994,183.0,83.0
Стивен Бёрд,,Австралия,,,
Дейн Бёрд-Смит,,Австралия,15.07.1992,,
Фил Бёрджесс,,Великобритания,01.07.1988,180.0,92.0
Яна Березко-Маргграндер,,Германия,,,
Жомбор Берец,,Венгрия,26.04.1986,195.0,95.0
Жан-Баптист Берна,,Франция,18.07.1987,183.0,77.0
Мария Бернар,,Канада,06.04.1993,,
Наталия Бернарду,,Ангола,25.12.1986,170.0,
Петер Бернек,,Венгрия,13.04.1992,,
Джек Бёрнелл,,Великобритания,13.06.1993,,
